Region,Visitor Trip 2023,Expenditure 2023,Visitor Trip 2024,Expenditure 2024,Visitor Growth Rate,City Category
Sydney,3174,9925,3529,10904,11%,Major City
Melbourne,1918,5925,2552,8401,33%,Major City
Brisbane,1154,2940,1275,3105,10%,Regional Destination
Destination Perth,743,1949,813,2268,9%,Regional Destination
Adelaide,412,1116,402,1134,-2%,Regional Destination
Gold Coast,620,1134,635,1172,2%,Regional Destination
Canberra,179,495,215,627,20%,Regional Destination
Tropical North Queensland,459,889,543,981,18%,Regional Destination
Sunshine Coast,305,363,314,318,3%,Regional Destination
North Coast NSW,260,263,292,266,13%,Regional Destination
Darwin,96,216,126,235,31%,Regional Destination
South Coast,138,151,148,273,7%,Regional Destination
Hunter,163,218,158,217,-3%,Regional Destination
Hobart and the South,176,225,211,357,20%,Regional Destination
Queensland Country,49,113,51,108,3%,Regional Destination
Australia's South West,125,161,139,159,11%,Regional Destination
Mallee,20,33,26,80,27%,Regional Destination
Australia's North West,48,98,43,79,-11%,Regional Destination
New England North West,32,42,39,58,24%,Regional Destination
Central NSW,40,51,41,80,2%,Regional Destination